name,artist,lat,lng,safety,description,photo,year,photo2,year2,photo3,year3,photo4,year4
Unknown,Unknown,0.304399,32.584907,safe,Located at the Herman Padel Center entrance. Safe to visit day or night.,mural-1.jpg,2024,,,,,,
Unknown,Unknown,0.342802,32.638745,unsafe,"Located in Banda, on the fence of the Honda motor dealer, accessed through the neighboring slums. Not recommended to visit, day or night.",mural-2.jpg,2024,,,,,,
